nid,sid,label
MLS002182467-01,74373888,medium
MLS002245530-01,85271583,medium
MLS002245557-01,85271482,low
MLS002245612-01,85271688,medium
MLS002248623-01,85269124,medium
MLS002248158-01,85269169,low
MLS002247927-01,85268603,high
MLS002247907-01,85268587,high
MLS002245310-01,85268038,low
MLS002246286-01,85268340,medium
MLS002248572-01,85269345,medium
MLS002248625-01,85269126,medium
MLS002245865-01,85270805,medium
MLS002245839-01,85271557,medium
MLS002249899-01,85268837,high
MLS002245457-01,85271430,low
MLS002246427-01,85268355,high
MLS002251205-01,85198993,medium
MLS002251087-01,85198748,medium
MLS002246733-01,85199836,medium
MLS002251059-01,85198728,low
MLS002251085-01,85198746,medium
MLS002251101-01,85198823,medium
MLS002251100-01,85198822,medium
MLS002251072-01,85198737,low
MLS002246737-01,85199839,medium
MLS002246744-01,85199846,medium
MLS002251053-01,85198722,medium
MLS002251106-01,85198828,medium
MLS002246722-01,85199827,medium
MLS002251058-01,85198727,low
MLS002246470-01,85268394,medium
MLS002246725-01,85199828,medium
MLS002251156-01,85198855,medium
MLS002251118-01,85198836,medium
MLS002251136-01,85198844,medium
MLS002251162-01,85198860,medium
MLS002251153-01,85198853,medium
MLS002251193-01,85198875,medium
MLS002251190-01,85198873,medium
MLS002251211-01,85198995,medium
MLS002251145-01,85198847,low
MLS002251168-01,85198863,medium
MLS002251189-01,85198872,medium
MLS002251167-01,85198862,medium
MLS002251124-01,85198839,medium
MLS002251170-01,85198864,low
MLS002251148-01,85198850,medium
MLS002245064-01,85199600,high
MLS002244878-01,85199384,high
MLS002244909-01,85199399,low
MLS002244886-01,85199388,medium
MLS002244920-01,85199405,medium
MLS002245069-01,85199605,high
MLS002245095-01,85199731,high
MLS002245100-01,85199735,medium
MLS002245087-01,85199620,medium
MLS002244859-01,85199256,medium
MLS002244917-01,85199403,low
MLS002244885-01,85199387,medium
MLS002244934-01,85199409,medium
MLS002245070-01,85199606,low
MLS002245115-01,85199750,high
MLS002245047-01,85199585,medium
MLS002244864-01,85199257,medium
MLS002244866-01,85199258,medium
MLS002244892-01,85199391,low
MLS002244847-01,85199253,low
MLS002244891-01,85199390,medium
MLS002244910-01,85199400,medium
MLS002245128-01,85199761,low
MLS002245041-01,85199581,medium
MLS002244845-01,85199251,medium
MLS002244902-01,85199396,medium
MLS002244935-01,85199410,medium
MLS002244932-01,85199407,high
MLS002244939-01,85199414,low
MLS002244919-01,85199404,low
MLS002244851-01,85199254,medium
MLS002245136-01,85199767,medium
MLS002244923-01,85199406,medium
MLS002244876-01,85199382,medium
MLS002244873-01,85199261,medium
MLS002244882-01,85199385,high
MLS002244877-01,85199383,medium
MLS002244887-01,85199389,high
MLS002244841-01,85199249,high
MLS002245048-01,85199586,high
MLS002245062-01,85199598,low
MLS002244937-01,85199412,medium
MLS002245104-01,85199739,high
MLS002245073-01,85199608,high
MLS002244846-01,85199252,low
MLS002244869-01,85199259,low
MLS002244858-01,85199255,high
MLS002244884-01,85199386,low
MLS002245111-01,85199746,medium
MLS002245059-01,85199595,medium
MLS002245052-01,85199589,low
MLS002244898-01,85199394,low
MLS002244938-01,85199413,medium
MLS002244908-01,85199398,medium
MLS002244893-01,85199392,high
MLS002245004-01,85199553,medium
MLS002245106-01,85199741,low
MLS002245039-01,85199579,medium
MLS002245066-01,85199602,medium
MLS002245078-01,85199612,medium
MLS002245042-01,85199582,high
MLS002245071-01,85199607,medium
MLS002245125-01,85199758,medium
MLS002245068-01,85199604,high
MLS002245067-01,85199603,medium
MLS002245116-01,85199751,medium
MLS002245061-01,85199597,medium
MLS002244874-01,85199262,low
MLS002244914-01,85199401,medium
MLS002245081-01,85199615,medium
MLS002245054-01,85199590,high
MLS002245083-01,85199617,medium
MLS002245113-01,85199748,high
MLS002244965-01,85199432,low
MLS002244995-01,85199546,medium
MLS002245058-01,85199594,high
MLS002245075-01,85199609,medium
MLS002245119-01,85199754,high
MLS002245086-01,85199619,medium
MLS002245025-01,85199569,medium
MLS002252577-01,85198603,high
MLS002252529-01,85198517,medium
MLS002248803-01,85199452,low
MLS002252831-01,85198902,low
MLS002246494-01,85268414,low
MLS002246056-01,85268153,medium
MLS002248468-01,85269004,high
MLS002181359-01,74373794,low
MLS002252562-01,85198537,low
MLS002252571-01,85198542,low
MLS002252602-01,85198620,low
MLS002252869-01,85198934,medium
MLS002246031-01,85268131,high
MLS002246077-01,85268169,medium
MLS002248482-01,85269015,high
MLS002180295-01,74373749,medium
MLS002252589-01,85198613,medium
MLS002252528-01,85198516,low
MLS002252552-01,85198532,low
MLS002252643-01,85198651,medium
MLS002246435-01,85268363,medium
MLS002246078-01,85268170,medium
MLS002180375-01,74373758,high
MLS002182244-01,74373872,low
MLS002248815-01,85199462,low
MLS002248768-01,85199343,high
MLS002252531-01,85198519,low
MLS002248807-01,85199456,high
MLS002246446-01,85268373,medium
MLS002246060-01,85268156,medium
MLS002180358-01,74373756,medium
MLS002180558-01,74373764,high
MLS002248816-01,85199463,low
MLS002248750-01,85199331,low
MLS002252890-01,85198950,low
MLS002248812-01,85199460,medium
MLS002246424-01,85268352,medium
MLS002252114-01,85270251,high
MLS002181784-01,74373825,high
MLS002179795-01,74373731,medium
MLS002248773-01,85199346,medium
MLS002248806-01,85199455,medium
MLS002252889-01,85198949,medium
MLS002248763-01,85199338,medium
MLS002252161-01,85271007,high
MLS002244800-01,85273643,high
MLS002182211-01,74373868,high
MLS002180403-01,74373761,high
MLS002252896-01,85198997,medium
MLS002252846-01,85198915,medium
MLS002252897-01,85198998,medium
MLS002248822-01,85199469,high
MLS002246429-01,85268357,medium
MLS002246124-01,85268205,medium
MLS002179789-01,74373730,high
MLS002180356-01,74373754,medium
MLS002252820-01,85198893,medium
MLS002252847-01,85198916,medium
MLS002248802-01,85199451,low
MLS002248823-01,85199470,low
MLS002246082-01,85268174,medium
MLS002246108-01,85268190,low
MLS002180292-01,74373748,medium
MLS002180369-01,74373757,low
MLS002244816-01,85201915,medium
MLS002252836-01,85198906,medium
MLS002248731-01,85199315,high
MLS002252607-01,85198622,high
MLS002245719-01,85271787,medium
MLS002248462-01,85268998,medium
MLS002182316-01,74373880,medium
MLS002180357-01,74373755,medium
MLS002252648-01,85198655,high
MLS002252676-01,85198679,low
MLS002252545-01,85198526,medium
MLS002246505-01,85268425,medium
MLS002246442-01,85268369,medium
MLS002244780-01,85273629,high
MLS002181774-01,74373822,low
MLS002182224-01,74373869,low
MLS002251113-01,85198832,low
MLS002251188-01,85198871,low
MLS002251151-01,85198851,low
MLS002251158-01,85198857,medium
MLS002251146-01,85198848,medium
MLS002251201-01,85198992,medium
MLS002244844-01,85199250,medium
MLS002244895-01,85199393,medium
MLS002251075-01,85198739,medium
MLS002251212-01,85198996,low
MLS002251138-01,85198845,low
MLS002245060-01,85199596,high
MLS002244933-01,85199408,medium
MLS002244916-01,85199402,low
MLS002251421-01,85199205,medium
MLS002251499-01,85199239,low
MLS002251095-01,85198819,low
MLS002245056-01,85199592,high
MLS002245118-01,85199753,medium
MLS002251443-01,85199215,medium
MLS002251427-01,85199208,low
MLS002251469-01,85199227,low
MLS002251470-01,85199228,medium
MLS002251477-01,85199232,medium
MLS002251327-01,85199096,medium
MLS002251460-01,85199224,medium
MLS002251419-01,85199204,medium
MLS002251507-01,85199244,low
MLS002251471-01,85199229,low
MLS002251433-01,85199212,medium
MLS002251506-01,85199243,medium
MLS002251479-01,85199233,medium
MLS002245105-01,85199740,high
MLS002251429-01,85199210,low
MLS002251418-01,85199203,medium
MLS002251428-01,85199209,medium
MLS002251501-01,85199240,high
MLS002251434-01,85199213,medium
MLS002251491-01,85199237,medium
MLS002251446-01,85199216,low
MLS002251476-01,85199231,medium
MLS002251504-01,85199242,medium
MLS002251415-01,85199202,medium
MLS002251486-01,85199235,low
MLS002251448-01,85199218,low
MLS002251454-01,85199222,low
MLS002251436-01,85199214,medium
MLS002251461-01,85199225,high
MLS002251432-01,85199211,medium
MLS002251511-01,85199245,medium
MLS002251422-01,85199206,medium
MLS002251453-01,85199221,medium
MLS002251450-01,85199219,low
MLS002251456-01,85199223,low
MLS002251147-01,85198849,medium
MLS002251126-01,85198840,medium
MLS002251423-01,85199207,medium
MLS002251468-01,85199226,high
MLS002251487-01,85199236,low
MLS002251493-01,85199238,medium
MLS002251483-01,85199234,medium
MLS002251512-01,85199246,medium
MLS002251187-01,85198870,medium
MLS002251161-01,85198859,medium
MLS002251447-01,85199217,medium
MLS002251451-01,85199220,medium
MLS002251152-01,85198852,high
MLS002251183-01,85198868,medium
MLS002251157-01,85198856,medium
MLS002251179-01,85198867,medium
MLS002251121-01,85198837,medium
MLS002251184-01,85198869,medium
MLS002251178-01,85269231,medium
MLS002252833-01,85198904,medium
MLS002252883-01,85198944,medium
MLS002252867-01,85198932,medium
MLS002252856-01,85198924,medium
MLS002252880-01,85198942,medium
MLS002252806-01,85198882,medium
MLS002248804-01,85199453,high
MLS002245369-01,85200147,medium
MLS002245427-01,85198302,medium
MLS002245354-01,85200135,medium
MLS002245350-01,85200132,high
MLS002245344-01,85200127,high
MLS002252915-01,85199013,medium
MLS002252963-01,85199047,medium
MLS002252966-01,85199049,low
MLS002245432-01,85198307,low
MLS002245372-01,85200150,medium
MLS002245348-01,85200130,medium
MLS002252943-01,85199032,medium
MLS002252904-01,85199004,medium
MLS002252967-01,85199050,medium
MLS002252910-01,85199009,medium
MLS002252976-01,85199056,medium
MLS002245380-01,85200154,low
MLS002251552-01,85199364,medium
MLS002245337-01,85200124,high
MLS002252984-01,85199063,medium
MLS002252956-01,85199041,medium
MLS002252986-01,85199065,medium
MLS002252929-01,85199025,low
MLS002252909-01,85199008,low
MLS002245368-01,85200146,high
MLS002252532-01,85198520,medium
MLS002245394-01,85200167,low
MLS002252999-01,85199076,medium
MLS002252906-01,85199006,low
MLS002252957-01,85199042,medium
MLS002252988-01,85199067,low
MLS002252962-01,85199046,medium
MLS002252608-01,85198623,medium
MLS002248790-01,85199355,medium
MLS002252987-01,85199066,low
MLS002245009-01,85199557,medium
MLS002253000-01,85199077,medium
MLS002252960-01,85199044,medium
MLS002252930-01,85199026,low
MLS002251565-01,85199367,medium
MLS002248783-01,85199351,medium
MLS002248734-01,85199317,low
MLS002244958-01,85199427,medium
MLS002252949-01,85199037,medium
MLS002245032-01,85199574,low
MLS002252950-01,85199038,low
MLS002245386-01,85200160,medium
MLS002245433-01,85198308,medium
MLS002248739-01,85199322,low
MLS002251546-01,85199363,low
MLS002244990-01,85199542,medium
MLS002252991-01,85199069,medium
MLS002244991-01,85199543,low
MLS002252935-01,85269665,medium
MLS002251601-01,85199372,medium
MLS002251537-01,85199362,low
MLS002248745-01,85199326,low
MLS002245393-01,85200166,medium
MLS002252959-01,85199043,medium
MLS002252927-01,85199023,medium
MLS002245005-01,85199554,medium
MLS002245415-01,85198293,low
MLS002245365-01,85200143,low
MLS002245381-01,85200155,medium
MLS002251593-01,85199370,medium
MLS002245424-01,85198300,low
MLS002252998-01,85199075,medium
MLS002245423-01,85198299,medium
MLS002245357-01,85200137,medium
MLS002251516-01,85199248,medium
MLS002245367-01,85200145,high
MLS002252945-01,85199034,medium
MLS002249741-01,85198545,medium
MLS002249778-01,85198576,medium
MLS002249800-01,85198593,low
MLS002249737-01,85198499,low
MLS002249203-01,85200067,medium
MLS002252630-01,85198642,high
MLS002248756-01,85199334,medium
MLS002248794-01,85199445,high
MLS002252650-01,85198656,medium
MLS002252678-01,85198681,low
MLS002251473-01,85199230,medium
MLS002252574-01,85198543,low
MLS002245420-01,85198298,medium
MLS002245400-01,85200171,medium
MLS002245339-01,85200125,high
MLS002245382-01,85200156,high
MLS002252613-01,85198626,low
MLS002249796-01,85198590,medium
MLS002244872-01,85199260,medium
MLS002251526-01,85199360,medium
MLS002245390-01,85200163,medium
MLS002245364-01,85200142,low
MLS002245430-01,85198305,medium
MLS002245388-01,85200161,medium
MLS002252782-01,85198781,low
MLS002249092-01,85199921,medium
MLS002251132-01,85198843,medium
MLS002245358-01,85200138,low
MLS002245397-01,85200169,medium
MLS002245403-01,85200172,medium
MLS002245414-01,85198292,medium
MLS002245349-01,85200131,low
MLS002246013-01,85198807,medium
MLS002252672-01,85198675,high
MLS002246731-01,85199834,medium
MLS002245385-01,85200159,high
MLS002245383-01,85200157,medium
MLS002245389-01,85200162,medium
MLS002245426-01,85198301,low
MLS002245417-01,85198295,medium
MLS002251999-01,85200091,medium
MLS002252865-01,85198931,medium
MLS002244943-01,85199417,high
MLS002251579-01,85199368,medium
MLS002245356-01,85200136,low
MLS002245407-01,85198291,medium
MLS002245419-01,85198297,medium
MLS002245346-01,85200128,medium
MLS002249045-01,85199884,medium
MLS002252541-01,85198524,low
MLS002248984-01,85199715,low
MLS002251527-01,85199361,low
MLS002245406-01,85198290,high
MLS002245416-01,85198294,high
MLS002245371-01,85200149,high
MLS002248821-01,85199468,medium
MLS002246639-01,85268512,medium
MLS002252579-01,85198605,medium
MLS002245130-01,85199763,medium
MLS002251598-01,85199371,medium
MLS002245379-01,85200153,medium
MLS002245362-01,85200140,low
MLS002248820-01,85199467,low
MLS002248809-01,85199458,high
MLS002252504-01,85271241,medium
MLS002251698-01,85199532,high
MLS002245108-01,85199743,medium
MLS002248779-01,85199349,high
MLS002248789-01,85199354,high
MLS002248793-01,85199358,low
MLS002248767-01,85199342,medium
MLS002248735-01,85199318,high
MLS002249211-01,85200073,medium
MLS002252895-01,85198954,medium
MLS002248975-01,85199710,medium
MLS002248737-01,85199320,medium
MLS002248766-01,85199341,medium
MLS002248808-01,85199457,medium
MLS002248771-01,85199344,high
MLS002248785-01,85199352,medium
MLS002246147-01,85198967,low
MLS002249389-01,85198322,medium
MLS002248730-01,85199314,medium
MLS002252593-01,85198616,medium
MLS002248749-01,85199330,medium
MLS002248792-01,85199357,low
MLS002248805-01,85199454,medium
MLS002248743-01,85199325,low
MLS002245156-01,85199784,medium
MLS002249067-01,85199902,medium
MLS002249027-01,85199869,medium
MLS002251962-01,85270172,low
MLS002248847-01,85269519,high
MLS002248921-01,85269569,medium
MLS002248267-01,85268523,high
MLS002246718-01,85199825,medium
MLS002246647-01,85199640,medium
MLS002246694-01,85199675,medium
MLS002252480-01,85271220,medium
MLS002252752-01,85269618,medium
MLS002248834-01,85269507,medium
MLS002251942-01,85270156,low
MLS002245207-01,85199954,low
MLS002245152-01,85199780,medium
MLS002245234-01,85199976,medium
MLS002245223-01,85199967,medium
MLS002245202-01,85199950,medium
MLS002245220-01,85199964,medium
MLS002245194-01,85199942,medium
MLS002245205-01,85199953,medium
MLS002245139-01,85199769,medium
MLS002245190-01,85199815,medium
MLS002245180-01,85199805,medium
MLS002245160-01,85199787,medium
MLS002245168-01,85199794,low
MLS002245159-01,85199786,medium
MLS002245198-01,85199946,low
MLS002245162-01,85199789,medium
MLS002245183-01,85199808,low
MLS002245173-01,85199799,medium
MLS002249109-01,85199937,medium
MLS002249103-01,85199932,medium
MLS002249132-01,85200016,low
MLS002249133-01,85200017,medium
MLS002249262-01,85200197,low
MLS002244830-01,85201919,medium
MLS002249286-01,85200211,medium
MLS002245189-01,85199814,low
MLS002245158-01,85199785,medium
MLS002245232-01,85199974,medium
MLS002245178-01,85199803,medium
MLS002249267-01,85200201,medium
MLS002249260-01,85200196,medium
MLS002249030-01,85199872,medium
MLS002249065-01,85199900,medium
MLS002249029-01,85199871,low
MLS002252615-01,85198628,medium
MLS002252628-01,85198640,low
MLS002252639-01,85198648,medium
MLS002252700-01,85198764,low
MLS002252660-01,85198665,medium
MLS002249146-01,85200026,medium
MLS002249042-01,85199882,medium
MLS002249099-01,85199928,low
MLS002249085-01,85199916,low
MLS002249048-01,85199887,medium
MLS002249090-01,85199919,medium
MLS002249142-01,85200022,low
MLS002252655-01,85198660,high
MLS002252690-01,85198757,medium
MLS002252662-01,85198667,medium
MLS002252689-01,85198756,medium
MLS002251614-01,85199373,high
MLS002251685-01,85199521,medium
MLS002251622-01,85199381,medium
MLS002252585-01,85198611,medium
MLS002249752-01,85198556,medium
MLS002249733-01,85198496,medium
MLS002252568-01,85198540,medium
MLS002252843-01,85198912,medium
MLS002252835-01,85198905,medium
MLS002249131-01,85200015,medium
MLS002252519-01,85198508,low
MLS002249765-01,85198567,medium
MLS002252514-01,85198506,high
MLS002252591-01,85198614,high
MLS002251658-01,85199498,high
MLS002251656-01,85199496,medium
MLS002245297-01,85268027,medium
MLS002246728-01,85199831,medium
MLS002251094-01,85198818,medium
MLS002246745-01,85199847,medium
MLS002251054-01,85198723,medium
MLS002246726-01,85199829,medium
MLS002251077-01,85198741,high
MLS002251099-01,85198821,medium
MLS002245322-01,85268049,medium
MLS002251084-01,85198745,low
MLS002251066-01,85198732,high
MLS002251070-01,85198735,medium
MLS002251102-01,85198824,medium
MLS002246732-01,85199835,low
MLS002246739-01,85199841,medium
MLS002246729-01,85199832,medium
MLS002245272-01,85268009,medium
MLS002246748-01,85199850,medium
MLS002251071-01,85198736,medium
MLS002246735-01,85199837,high
MLS002246727-01,85199830,medium
MLS002251057-01,85198726,medium
MLS002244804-01,85201910,medium
MLS002246730-01,85199833,medium
MLS002246497-01,85268417,medium
MLS002246741-01,85199843,medium
MLS002246749-01,85199851,high
MLS002251086-01,85198747,low
MLS002246750-01,85199852,medium
MLS002246438-01,85268366,medium
MLS002251109-01,85198830,medium
MLS002251399-01,85199109,medium
MLS002246444-01,85268371,medium
MLS002251063-01,85198730,medium
MLS002251103-01,85198825,medium
MLS002251069-01,85198734,low
MLS002246740-01,85199842,medium
MLS002251384-01,85199105,medium
MLS002251376-01,85199104,medium
MLS002251080-01,85198742,medium
MLS002245261-01,85267999,high
MLS002251055-01,85198724,low
MLS002251108-01,85198829,medium
MLS002251337-01,85199098,high
MLS002251355-01,85199101,medium
MLS002251194-01,85198876,low
MLS002251154-01,85198854,low
MLS002251076-01,85198740,medium
MLS002246516-01,85268433,medium
MLS002246743-01,85199845,low
MLS002251067-01,85198733,medium
MLS002251163-01,85198861,medium
MLS002251159-01,85198858,medium
MLS002251104-01,85198826,medium
MLS002246742-01,85199844,low
MLS002251093-01,85198817,medium
MLS002245276-01,85268012,low
MLS002246746-01,85199848,medium
MLS002251394-01,85199107,medium
MLS002251091-01,85198751,low
MLS002251117-01,85198835,medium
MLS002251061-01,85198729,medium
MLS002251052-01,85198721,high
MLS002251083-01,85198744,low
MLS002245252-01,85267991,medium
MLS002251088-01,85198749,medium
MLS002251112-01,85198831,high
MLS002246747-01,85199849,medium
MLS002251090-01,85198750,low
MLS002251056-01,85198725,medium
MLS002251050-01,85198720,low
MLS002251081-01,85198743,medium
MLS002246492-01,85268412,medium
MLS002251064-01,85198731,medium
MLS002251114-01,85198833,medium
MLS002251073-01,85198738,medium
MLS002251098-01,85198820,medium
MLS002246738-01,85199840,medium
MLS002251116-01,85198834,medium
MLS002251105-01,85198827,medium
MLS002249038-01,85199878,low
MLS002251997-01,85200090,low
MLS002251361-01,85199103,medium
MLS002252018-01,85200102,low
MLS002245392-01,85200165,low
MLS002251671-01,85199509,low
MLS002244753-01,85201902,medium
MLS002251703-01,85199535,medium
MLS002251978-01,85200086,medium
MLS002251680-01,85199517,low
MLS002251340-01,85199100,medium
MLS002251402-01,85199110,medium
MLS002245429-01,85198304,medium
MLS002249061-01,85199897,medium
MLS002251618-01,85199377,medium
MLS002251989-01,85200088,low
MLS002251631-01,85199476,low
MLS002251629-01,85199475,medium
MLS002252746-01,85198777,medium
MLS002252727-01,85198776,high
MLS002245376-01,85200151,medium
MLS002249069-01,85199904,medium
MLS002251692-01,85199526,low
MLS002251918-01,85199939,medium
MLS002251640-01,85199482,medium
MLS002251673-01,85199511,low
MLS002252455-01,85198421,medium
MLS002252050-01,85200232,low
MLS002252071-01,85200249,medium
MLS002249040-01,85199880,medium
MLS002249727-01,85198490,medium
MLS002249075-01,85199908,medium
MLS002251661-01,85199501,medium
MLS002251677-01,85199515,medium
MLS002252376-01,85198403,low
MLS002252074-01,85200252,medium
MLS002252008-01,85200093,medium
MLS002244814-01,85201914,high
MLS002249774-01,85198573,high
MLS002249059-01,85199896,low
MLS002251615-01,85199374,medium
MLS002244810-01,85201912,high
MLS002248713-01,85199304,medium
MLS002252059-01,85200239,low
MLS002252021-01,85200105,low
MLS002252919-01,85199016,medium
MLS002249782-01,85198580,medium
MLS002249031-01,85199873,low
MLS002251627-01,85199474,medium
MLS002249119-01,85200005,low
MLS002246364-01,85199141,medium
MLS002252053-01,85200235,medium
MLS002252084-01,85200259,medium
MLS002252946-01,85199035,medium
MLS002249769-01,85198569,medium
MLS002251655-01,85199495,low
MLS002251669-01,85199507,medium
MLS002249118-01,85200004,medium
MLS002245395-01,85200168,medium
MLS002252086-01,85200261,low
MLS002252054-01,85200236,low
MLS002245361-01,85200139,low
MLS002251674-01,85199512,medium
MLS002251664-01,85199504,medium
MLS002249026-01,85199868,medium
MLS002249055-01,85199894,low
MLS002245353-01,85200134,medium
MLS002252034-01,85200114,medium
MLS002252091-01,85200266,low
MLS002252985-01,85199064,medium
MLS002251635-01,85199480,medium
MLS002251668-01,85199506,medium
MLS002249107-01,85199935,low
MLS002251970-01,85200085,medium
MLS002245001-01,85199550,medium
MLS002252043-01,85200122,medium
MLS002252075-01,85200253,medium
MLS002252908-01,85199007,medium
MLS002251620-01,85199379,medium
MLS002251675-01,85199513,high
MLS002248010-01,85199997,medium
MLS002247948-01,85199856,medium
MLS002247968-01,85199982,medium
MLS002249354-01,85270887,medium
MLS002245758-01,85271824,medium
MLS002245829-01,85271548,medium
MLS002245778-01,85271500,medium
MLS002251296-01,85269334,medium
MLS002248021-01,85268664,medium
MLS002247976-01,85199986,medium
MLS002244820-01,85201917,medium
MLS002248936-01,85269578,medium
MLS002249393-01,85270972,low
MLS002245756-01,85271822,medium
MLS002251245-01,85269288,medium
MLS002251369-01,85269405,medium
MLS002247966-01,85199981,low
MLS002247937-01,85268610,medium
MLS002248009-01,85199996,medium
MLS002249341-01,85270879,low
MLS002249413-01,85270986,low
MLS002245827-01,85271546,medium
MLS002251240-01,85269283,medium
MLS002251310-01,85269361,medium
MLS002247985-01,85199990,low
MLS002247940-01,85199855,high
MLS002247994-01,85268645,low
MLS002244831-01,85273672,medium
MLS002249005-01,85269584,medium
MLS002251278-01,85269316,medium
MLS002251362-01,85269399,medium
MLS002251214-01,85269259,medium
MLS002247969-01,85199983,medium
MLS002247954-01,85199858,low
MLS002247996-01,85199993,medium
MLS002249325-01,85270869,medium
MLS002249343-01,85270880,medium
MLS002251228-01,85269273,medium
MLS002251243-01,85269286,medium
MLS002251462-01,85269469,low
MLS002247957-01,85268623,medium
MLS002248017-01,85199998,medium
MLS002247951-01,85199857,low
MLS002249374-01,85270960,medium
MLS002245819-01,85271539,low
MLS002245763-01,85271828,low
MLS002251412-01,85269446,medium
MLS002251378-01,85269413,medium
MLS002247977-01,85199987,medium
MLS002247950-01,85268620,high
MLS002249391-01,85270971,high
MLS002249404-01,85270980,medium
MLS002249016-01,85269591,low
MLS002251217-01,85269262,medium
MLS002251484-01,85269742,medium
MLS002251354-01,85269395,medium
MLS002247955-01,85268522,low
MLS002247963-01,85199980,low
MLS002249415-01,85270988,low
MLS002248980-01,85269872,medium
MLS002249001-01,85269882,medium
MLS002251230-01,85269275,medium
MLS002251403-01,85269682,medium
MLS002251425-01,85269452,medium
MLS002247988-01,85199991,low
MLS002247974-01,85199984,high
MLS002248938-01,85269579,low
MLS002249376-01,85270961,medium
MLS002248958-01,85269863,medium
MLS002245776-01,85271498,medium
MLS002251232-01,85269277,medium
MLS002251387-01,85269421,medium
MLS002248011-01,85268656,low
MLS002247995-01,85199992,medium
MLS002245799-01,85271519,high
MLS002248969-01,85269868,medium
MLS002245794-01,85271515,low
MLS002245737-01,85271803,low
MLS002251284-01,85269322,medium
MLS002249314-01,85270223,medium
MLS002252027-01,85200110,medium
MLS002252019-01,85200103,medium
MLS002252073-01,85200251,medium
MLS002252069-01,85200247,medium
MLS002252080-01,85200256,medium
MLS002252045-01,85200228,medium
MLS002248742-01,85199324,medium
MLS002245969-01,85198711,medium
MLS002252047-01,85200230,medium
MLS002252023-01,85200107,low
MLS002252083-01,85200258,high
MLS002252049-01,85200231,medium
